[2026-05-23 12:13:44,806]: [Main.py]: <module>: 21:       INFO:    [Started]
[2026-05-23 12:13:54,844]: [Iron_Scraper.py]: Scrap: 30:       CRITICAL:    [Scrapping Faild]
[2026-05-23 12:13:54,844]: [Iron_Scraper.py]: Scrap: 68:       CRITICAL:    [Something Went Wrong About Scraped Data]
[2026-05-23 12:13:54,844]: [Iron_Scraper.py]: Scrap: 81:       CRITICAL:    [Saving Data Failed]
[2026-05-23 12:13:54,844]: [Iron.py]: Run: 26:       INFO:    [Scraping Phase Completed]
[2026-05-23 12:13:54,844]: [Iron_Data_Processor.py]: Data_Reader: 61:       INFO:    [Data File Has Been Red Successfully]
[2026-05-23 12:13:54,844]: [Iron_Data_Processor.py]: Shaper: 78:       INFO:    [Data Shaped]
[2026-05-23 12:13:54,844]: [Iron_Data_Processor.py]: Process: 228:       INFO:    [Data Cleaned]
[2026-05-23 12:13:54,844]: [Iron_Data_Processor.py]: Make_Pages_Objects: 101:       INFO:    [Page Objects Has Been Made]
[2026-05-23 12:13:54,845]: [Iron_Data_Processor.py]: Make_Pages_Objects: 101:       INFO:    [Page Objects Has Been Made]
[2026-05-23 12:13:54,845]: [Iron_Data_Processor.py]: Load_Data: 118:       INFO:    [Data Has Been Load]
[2026-05-23 12:13:54,845]: [Iron_Data_Processor.py]: Load_Data: 118:       INFO:    [Data Has Been Load]
[2026-05-23 12:13:54,845]: [Iron_Data_Processor.py]: Load_positions: 140:       INFO:    [Positions Are Ready]
[2026-05-23 12:13:54,845]: [Iron_Data_Processor.py]: Load_positions: 140:       INFO:    [Positions Are Ready]
[2026-05-23 12:13:55,925]: [Iron_Data_Processor.py]: Make_Tagged_Images: 193:       INFO:    [Images Has Been Made]
[2026-05-23 12:13:56,825]: [Iron_Data_Processor.py]: Make_Tagged_Images: 193:       INFO:    [Images Has Been Made]
[2026-05-23 12:13:57,079]: [Iron_Data_Processor.py]: Make_Cover_Page: 215:       INFO:    [Made Cover Pages]
[2026-05-23 12:13:57,079]: [Iron.py]: Run: 29:       INFO:    [Imagination Phase Completed]
[2026-05-23 12:14:47,578]: [Phone_Scraper.py]: Scrap: 58:       INFO:    [Data Scraped]
[2026-05-23 12:14:47,578]: [Phone_Scraper.py]: Scrap: 71:       INFO:    [Scraped Data Successfully]
[2026-05-23 12:14:47,578]: [Phone.py]: Run: 26:       INFO:    [Scraping Phase Complete]
[2026-05-23 12:14:47,579]: [Phone_Data_Processor.py]: data_reader: 38:       INFO:    [Scraped Data Loaded]
[2026-05-23 12:14:47,579]: [Phone_Data_Processor.py]: filter_list: 65:       INFO:    [Persian Phrases Are deleted]
[2026-05-23 12:14:47,580]: [Phone_Data_Processor.py]: reshape_list: 87:       INFO:    [Date Reshaped]
[2026-05-23 12:14:47,580]: [Phone_Data_Processor.py]: separate_brands: 124:       INFO:    [Brands Are Separated]
[2026-05-23 12:14:47,580]: [Phone_Data_Processor.py]: delete_extra_spaces: 141:       INFO:    [Extra Spaces Are Deleted]
[2026-05-23 12:14:48,208]: [Phone.py]: Run: 29:       INFO:    [Imagination Phase Complete]
[2026-05-23 12:14:48,208]: [selector_events.py]: __init__: 64:       DEBUG:    [Using selector: EpollSelector]
[2026-05-23 12:14:48,468]: [_bot.py]: _do_post: 643:       DEBUG:    [Calling Bot API endpoint `getMe` with parameters `{}`]
[2026-05-23 12:14:48,473]: [_trace.py]: atrace: 87:       DEBUG:    [connect_tcp.started host='api.telegram.org' port=443 local_address=None timeout=5.0 socket_options=None]
[2026-05-23 12:14:48,566]: [_trace.py]: atrace: 87:       DEBUG:    [connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7fe844e73ec0>]
[2026-05-23 12:14:48,566]: [_trace.py]: atrace: 87:       DEBUG:    [start_tls.started ssl_context=<ssl.SSLContext object at 0x7fe8453b9dd0> server_hostname='api.telegram.org' timeout=5.0]
[2026-05-23 12:14:48,654]: [_trace.py]: atrace: 87:       DEBUG:    [start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7fe84535d220>]
[2026-05-23 12:14:48,655]: [_trace.py]: atrace: 87:       DEBUG:    [send_request_headers.started request=<Request [b'POST']>]
[2026-05-23 12:14:48,655]: [_trace.py]: atrace: 87:       DEBUG:    [send_request_headers.complete]
[2026-05-23 12:14:48,655]: [_trace.py]: atrace: 87:       DEBUG:    [send_request_body.started request=<Request [b'POST']>]
[2026-05-23 12:14:48,655]: [_trace.py]: atrace: 87:       DEBUG:    [send_request_body.complete]
[2026-05-23 12:14:48,655]: [_trace.py]: atrace: 87:       DEBUG:    [receive_response_headers.started request=<Request [b'POST']>]
[2026-05-23 12:14:53,661]: [_trace.py]: atrace: 87:       DEBUG:    [receive_response_headers.failed exception=ReadTimeout(TimeoutError())]
[2026-05-23 12:14:53,661]: [_trace.py]: atrace: 87:       DEBUG:    [response_closed.started]
[2026-05-23 12:14:53,661]: [_trace.py]: atrace: 87:       DEBUG:    [response_closed.complete]
[2026-05-23 12:14:53,662]: [_bot.py]: shutdown: 777:       DEBUG:    [This Bot is already shut down. Returning.]
[2026-05-23 12:14:53,662]: [Telegram_Sender.py]: runner: 59:       CRITICAL:    [didnt sent]
[2026-05-23 12:14:53,662]: [Main.py]: <module>: 48:       INFO:    [Finished]
