[2024-04-09 15:09:44,047]: [Main.py]: <module>: 11:       INFO:    [Started]
[2024-04-09 15:09:50,643]: [Iron_Scraper.py]: Scrap: 22:       INFO:    [Data Scaraped Successfully]
[2024-04-09 15:09:51,011]: [Iron_Scraper.py]: Scrap: 60:       INFO:    [Scrapped Data Has No Problem]
[2024-04-09 15:09:51,014]: [Iron_Scraper.py]: Scrap: 71:       INFO:    [Data Saved Successfully]
[2024-04-09 15:09:51,014]: [Iron.py]: Run: 26:       INFO:    [Scraping Phase Completed]
[2024-04-09 15:09:51,014]: [Iron_Data_Processor.py]: Data_Reader: 53:       INFO:    [Data File Has Been Red Successfully]
[2024-04-09 15:09:51,034]: [Iron_Data_Processor.py]: Shaper: 70:       INFO:    [Data Shaped]
[2024-04-09 15:09:51,035]: [Iron_Data_Processor.py]: Process: 213:       INFO:    [Data Cleaned]
[2024-04-09 15:09:51,035]: [Iron_Data_Processor.py]: Make_Pages_Objects: 93:       INFO:    [Page Objects Has Been Made]
[2024-04-09 15:09:51,035]: [Iron_Data_Processor.py]: Make_Pages_Objects: 93:       INFO:    [Page Objects Has Been Made]
[2024-04-09 15:09:51,035]: [Iron_Data_Processor.py]: Load_Data: 110:       INFO:    [Data Has Been Load]
[2024-04-09 15:09:51,035]: [Iron_Data_Processor.py]: Load_Data: 110:       INFO:    [Data Has Been Load]
[2024-04-09 15:09:51,061]: [Iron_Data_Processor.py]: Load_positions: 132:       INFO:    [Positions Are Ready]
[2024-04-09 15:09:51,062]: [Iron_Data_Processor.py]: Load_positions: 132:       INFO:    [Positions Are Ready]
[2024-04-09 15:09:59,559]: [Iron_Data_Processor.py]: Make_Tagged_Images: 181:       INFO:    [Images Has Been Made]
[2024-04-09 15:10:05,255]: [Iron_Data_Processor.py]: Make_Tagged_Images: 181:       INFO:    [Images Has Been Made]
[2024-04-09 15:10:06,696]: [Iron_Data_Processor.py]: Make_Cover_Page: 201:       INFO:    [Made Cover Pages]
[2024-04-09 15:10:06,698]: [Iron.py]: Run: 29:       INFO:    [Imagination Phase Completed]
[2024-04-09 15:10:14,980]: [Phone_Scraper.py]: Scrap: 46:       INFO:    [Data Scraped]
[2024-04-09 15:10:14,983]: [Phone_Scraper.py]: Scrap: 56:       INFO:    [Scraped Data Successfully]
[2024-04-09 15:10:14,983]: [Phone.py]: Run: 26:       INFO:    [Scraping Phase Complete]
[2024-04-09 15:10:14,984]: [Phone_Data_Processor.py]: data_reader: 35:       INFO:    [Scraped Data Loaded]
[2024-04-09 15:10:14,989]: [Phone_Data_Processor.py]: filter_list: 62:       INFO:    [Persian Phrases Are deleted]
[2024-04-09 15:10:15,406]: [Phone_Data_Processor.py]: reshape_list: 83:       INFO:    [Date Reshaped]
[2024-04-09 15:10:15,408]: [Phone_Data_Processor.py]: separate_brands: 120:       INFO:    [Brands Are Separated]
[2024-04-09 15:10:15,410]: [Phone_Data_Processor.py]: delete_extra_spaces: 137:       INFO:    [Extra Spaces Are Deleted]
[2024-04-09 15:10:20,729]: [Phone_Data_Processor.py]: divide_and_make_images: 210:       INFO:    [Images Have Been Made]
[2024-04-09 15:10:20,729]: [Phone.py]: Run: 29:       INFO:    [Imagination Phase Complete]
[2024-04-09 15:10:20,730]: [Main.py]: <module>: 31:       INFO:    [Finished]
